,n,acc,,
,0,0,1,
,1,0,2,0
,2,2,4,2
,3,0,8,6
,4,2,16,14
,5,4,32,30
,6,6,64,62
,7,0,128,126
,8,2,256,254
,9,4,512,510
,10,6,1024,1022
,11,8,2048,2046
,12,10,4096,4094
,13,12,8192,8190
,14,14,16384,16382
,15,0,32768,32766
,16,2,65536,65534
,17,4,131072,131070
,18,6,262144,262142
,19,8,524288,524286
,20,10,1048576,1048574
,21,12,2097152,2097150
,22,14,4194304,4194302
,23,16,8388608,8388606
,24,18,16777216,16777214
,25,20,33554432,33554430
,26,22,67108864,67108862
,27,24,134217728,134217726
,28,26,268435456,268435454
,29,28,536870912,536870910
,30,30,1073741824,1073741822
,31,0,2147483648,2147483646
,32,2,4294967296,4294967294
,33,4,8589934592,8589934590
,34,6,17179869184,17179869182
,35,8,34359738368,34359738366
,36,10,68719476736,68719476734
,37,12,137438953472,137438953470
,38,14,274877906944,274877906942
,39,16,549755813888,549755813886
,40,18,1099511627776,1099511627774
,41,20,2199023255552,2199023255550
,42,22,4398046511104,4398046511102
,43,24,8796093022208,8796093022206
,44,26,17592186044416,17592186044414
,45,28,35184372088832,35184372088830
,46,30,70368744177664,70368744177662
,47,32,140737488355328,140737488355326
,48,34,281474976710656,281474976710654
,49,36,562949953421312,562949953421310
,50,38,1125899906842624,1125899906842622
,51,40,2251799813685248,2251799813685246
,52,42,4503599627370496,4503599627370494
,53,44,"9,00719925474099E+015",9007199254740990
,54,46,"1,8014398509482E+016","1,8014398509482E+016"
,55,48,"3,6028797018964E+016","3,6028797018964E+016"
,56,50,"7,20575940379279E+016","7,20575940379279E+016"
,57,52,"1,44115188075856E+017","1,44115188075856E+017"
,58,54,"2,88230376151712E+017","2,88230376151712E+017"
,59,56,"5,76460752303424E+017","5,76460752303424E+017"
,60,58,"1,15292150460685E+018","1,15292150460685E+018"
,61,60,"2,30584300921369E+018","2,30584300921369E+018"
,62,62,"4,61168601842739E+018","4,61168601842739E+018"
,63,0,"9,22337203685478E+018","9,22337203685478E+018"
,64,2,"1,84467440737096E+019","1,84467440737096E+019"
,65,4,"3,68934881474191E+019","3,68934881474191E+019"
,66,6,"7,37869762948382E+019","7,37869762948382E+019"
,67,8,"1,47573952589676E+020","1,47573952589676E+020"
,68,10,"2,95147905179353E+020","2,95147905179353E+020"
,69,12,"5,90295810358706E+020","5,90295810358706E+020"
,70,14,"1,18059162071741E+021","1,18059162071741E+021"
,71,16,"2,36118324143482E+021","2,36118324143482E+021"
,72,18,"4,72236648286965E+021","4,72236648286965E+021"
,73,20,"9,44473296573929E+021","9,44473296573929E+021"
,74,22,"1,88894659314786E+022","1,88894659314786E+022"
,75,24,"3,77789318629572E+022","3,77789318629572E+022"
,76,26,"7,55578637259143E+022","7,55578637259143E+022"
,77,28,"1,51115727451829E+023","1,51115727451829E+023"
,78,30,"3,02231454903657E+023","3,02231454903657E+023"
,79,32,"6,04462909807315E+023","6,04462909807315E+023"
,80,34,"1,20892581961463E+024","1,20892581961463E+024"
,81,36,"2,41785163922926E+024","2,41785163922926E+024"
,82,38,"4,83570327845852E+024","4,83570327845852E+024"
,83,40,"9,67140655691703E+024","9,67140655691703E+024"
,84,42,"1,93428131138341E+025","1,93428131138341E+025"
,85,44,"3,86856262276681E+025","3,86856262276681E+025"
,86,46,"7,73712524553363E+025","7,73712524553363E+025"
,87,48,"1,54742504910673E+026","1,54742504910673E+026"
,88,50,"3,09485009821345E+026","3,09485009821345E+026"
,89,52,"6,1897001964269E+026","6,1897001964269E+026"
,90,54,"1,23794003928538E+027","1,23794003928538E+027"
,91,56,"2,47588007857076E+027","2,47588007857076E+027"
,92,58,"4,95176015714152E+027","4,95176015714152E+027"
,93,60,"9,90352031428304E+027","9,90352031428304E+027"
,94,62,"1,98070406285661E+028","1,98070406285661E+028"
,95,64,"3,96140812571322E+028","3,96140812571322E+028"
,96,66,"7,92281625142643E+028","7,92281625142643E+028"
,97,68,"1,58456325028529E+029","1,58456325028529E+029"
,98,70,"3,16912650057057E+029","3,16912650057057E+029"
,99,72,"6,33825300114115E+029","6,33825300114115E+029"
,100,74,"1,26765060022823E+030","1,26765060022823E+030"
,101,76,"2,53530120045646E+030","2,53530120045646E+030"
,102,78,"5,07060240091292E+030","5,07060240091292E+030"
,103,80,"1,01412048018258E+031","1,01412048018258E+031"
,104,82,"2,02824096036517E+031","2,02824096036517E+031"
,105,84,"4,05648192073033E+031","4,05648192073033E+031"
,106,86,"8,11296384146067E+031","8,11296384146067E+031"
,107,88,"1,62259276829213E+032","1,62259276829213E+032"
,108,90,"3,24518553658427E+032","3,24518553658427E+032"
,109,92,"6,49037107316853E+032","6,49037107316853E+032"
,110,94,"1,29807421463371E+033","1,29807421463371E+033"
,111,96,"2,59614842926741E+033","2,59614842926741E+033"
,112,98,"5,19229685853483E+033","5,19229685853483E+033"
,113,100,"1,03845937170697E+034","1,03845937170697E+034"
,114,102,"2,07691874341393E+034","2,07691874341393E+034"
,115,104,"4,15383748682786E+034","4,15383748682786E+034"
,116,106,"8,30767497365573E+034","8,30767497365573E+034"
,117,108,"1,66153499473114E+035","1,66153499473114E+035"
,118,110,"3,32306998946229E+035","3,32306998946229E+035"
,119,112,"6,64613997892458E+035","6,64613997892458E+035"
,120,114,"1,32922799578492E+036","1,32922799578492E+036"
,121,116,"2,65845599156983E+036","2,65845599156983E+036"
,122,118,"5,31691198313966E+036","5,31691198313966E+036"
,123,120,"1,06338239662793E+037","1,06338239662793E+037"
,124,122,"2,12676479325587E+037","2,12676479325587E+037"
,125,124,"4,25352958651173E+037","4,25352958651173E+037"
,126,126,"8,50705917302346E+037","8,50705917302346E+037"
,127,0,"1,70141183460469E+038","1,70141183460469E+038"
,128,2,"3,40282366920938E+038","3,40282366920938E+038"
,129,4,"6,80564733841877E+038","6,80564733841877E+038"
,130,6,"1,36112946768375E+039","1,36112946768375E+039"
,131,8,"2,72225893536751E+039","2,72225893536751E+039"
,132,10,"5,44451787073502E+039","5,44451787073502E+039"
,133,12,"1,088903574147E+040","1,088903574147E+040"
,134,14,"2,17780714829401E+040","2,17780714829401E+040"
,135,16,"4,35561429658801E+040","4,35561429658801E+040"
,136,18,"8,71122859317602E+040","8,71122859317602E+040"
,137,20,"1,74224571863521E+041","1,74224571863521E+041"
,138,22,"3,48449143727041E+041","3,48449143727041E+041"
,139,24,"6,96898287454082E+041","6,96898287454082E+041"
,140,26,"1,39379657490816E+042","1,39379657490816E+042"
,141,28,"2,78759314981633E+042","2,78759314981633E+042"
,142,30,"5,57518629963266E+042","5,57518629963266E+042"
,143,32,"1,11503725992653E+043","1,11503725992653E+043"
,144,34,"2,23007451985306E+043","2,23007451985306E+043"
,145,36,"4,46014903970613E+043","4,46014903970613E+043"
,146,38,"8,92029807941225E+043","8,92029807941225E+043"
,147,40,"1,78405961588245E+044","1,78405961588245E+044"
,148,42,"3,5681192317649E+044","3,5681192317649E+044"
,149,44,"7,1362384635298E+044","7,1362384635298E+044"
,150,46,"1,42724769270596E+045","1,42724769270596E+045"
,151,48,"2,85449538541192E+045","2,85449538541192E+045"
,152,50,"5,70899077082384E+045","5,70899077082384E+045"
,153,52,"1,14179815416477E+046","1,14179815416477E+046"
,154,54,"2,28359630832954E+046","2,28359630832954E+046"
,155,56,"4,56719261665907E+046","4,56719261665907E+046"
,156,58,"9,13438523331814E+046","9,13438523331814E+046"
,157,60,"1,82687704666363E+047","1,82687704666363E+047"
,158,62,"3,65375409332726E+047","3,65375409332726E+047"
,159,64,"7,30750818665451E+047","7,30750818665451E+047"
,160,66,"1,4615016373309E+048","1,4615016373309E+048"
,161,68,"2,92300327466181E+048","2,92300327466181E+048"
,162,70,"5,84600654932361E+048","5,84600654932361E+048"
,163,72,"1,16920130986472E+049","1,16920130986472E+049"
,164,74,"2,33840261972944E+049","2,33840261972944E+049"
,165,76,"4,67680523945889E+049","4,67680523945889E+049"
,166,78,"9,35361047891778E+049","9,35361047891778E+049"
,167,80,"1,87072209578356E+050","1,87072209578356E+050"
,168,82,"3,74144419156711E+050","3,74144419156711E+050"
,169,84,"7,48288838313422E+050","7,48288838313422E+050"
,170,86,"1,49657767662684E+051","1,49657767662684E+051"
,171,88,"2,99315535325369E+051","2,99315535325369E+051"
,172,90,"5,98631070650738E+051","5,98631070650738E+051"
,173,92,"1,19726214130148E+052","1,19726214130148E+052"
,174,94,"2,39452428260295E+052","2,39452428260295E+052"
,175,96,"4,7890485652059E+052","4,7890485652059E+052"
,176,98,"9,57809713041181E+052","9,57809713041181E+052"
,177,100,"1,91561942608236E+053","1,91561942608236E+053"
,178,102,"3,83123885216472E+053","3,83123885216472E+053"
,179,104,"7,66247770432944E+053","7,66247770432944E+053"
,180,106,"1,53249554086589E+054","1,53249554086589E+054"
,181,108,"3,06499108173178E+054","3,06499108173178E+054"
,182,110,"6,12998216346356E+054","6,12998216346356E+054"
,183,112,"1,22599643269271E+055","1,22599643269271E+055"
,184,114,"2,45199286538542E+055","2,45199286538542E+055"
,185,116,"4,90398573077084E+055","4,90398573077084E+055"
,186,118,"9,80797146154169E+055","9,80797146154169E+055"
,187,120,"1,96159429230834E+056","1,96159429230834E+056"
,188,122,"3,92318858461668E+056","3,92318858461668E+056"
,189,124,"7,84637716923335E+056","7,84637716923335E+056"
,190,126,"1,56927543384667E+057","1,56927543384667E+057"
,191,128,"3,13855086769334E+057","3,13855086769334E+057"
,192,130,"6,27710173538668E+057","6,27710173538668E+057"
,193,132,"1,25542034707734E+058","1,25542034707734E+058"
,194,134,"2,51084069415467E+058","2,51084069415467E+058"
,195,136,"5,02168138830935E+058","5,02168138830935E+058"
,196,138,"1,00433627766187E+059","1,00433627766187E+059"
,197,140,"2,00867255532374E+059","2,00867255532374E+059"
,198,142,"4,01734511064748E+059","4,01734511064748E+059"
,199,144,"8,03469022129495E+059","8,03469022129495E+059"
,200,146,"1,60693804425899E+060","1,60693804425899E+060"
,201,148,"3,21387608851798E+060","3,21387608851798E+060"
,202,150,"6,42775217703596E+060","6,42775217703596E+060"
,203,152,"1,28555043540719E+061","1,28555043540719E+061"
,204,154,"2,57110087081438E+061","2,57110087081438E+061"
,205,156,"5,14220174162877E+061","5,14220174162877E+061"
,206,158,"1,02844034832575E+062","1,02844034832575E+062"
,207,160,"2,05688069665151E+062","2,05688069665151E+062"
,208,162,"4,11376139330302E+062","4,11376139330302E+062"
,209,164,"8,22752278660603E+062","8,22752278660603E+062"
,210,166,"1,64550455732121E+063","1,64550455732121E+063"
,211,168,"3,29100911464241E+063","3,29100911464241E+063"
,212,170,"6,58201822928482E+063","6,58201822928482E+063"
,213,172,"1,31640364585696E+064","1,31640364585696E+064"
,214,174,"2,63280729171393E+064","2,63280729171393E+064"
,215,176,"5,26561458342786E+064","5,26561458342786E+064"
,216,178,"1,05312291668557E+065","1,05312291668557E+065"
,217,180,"2,10624583337114E+065","2,10624583337114E+065"
,218,182,"4,21249166674229E+065","4,21249166674229E+065"
,219,184,"8,42498333348457E+065","8,42498333348457E+065"
,220,186,"1,68499666669692E+066","1,68499666669692E+066"
,221,188,"3,36999333339383E+066","3,36999333339383E+066"
,222,190,"6,73998666678766E+066","6,73998666678766E+066"
,223,192,"1,34799733335753E+067","1,34799733335753E+067"
,224,194,"2,69599466671506E+067","2,69599466671506E+067"
,225,196,"5,39198933343013E+067","5,39198933343013E+067"
,226,198,"1,07839786668603E+068","1,07839786668603E+068"
,227,200,"2,15679573337205E+068","2,15679573337205E+068"
,228,202,"4,3135914667441E+068","4,3135914667441E+068"
,229,204,"8,62718293348821E+068","8,62718293348821E+068"
,230,206,"1,72543658669764E+069","1,72543658669764E+069"
,231,208,"3,45087317339528E+069","3,45087317339528E+069"
,232,210,"6,90174634679056E+069","6,90174634679056E+069"
,233,212,"1,38034926935811E+070","1,38034926935811E+070"
,234,214,"2,76069853871623E+070","2,76069853871623E+070"
,235,216,"5,52139707743245E+070","5,52139707743245E+070"
,236,218,"1,10427941548649E+071","1,10427941548649E+071"
,237,220,"2,20855883097298E+071","2,20855883097298E+071"
,238,222,"4,41711766194596E+071","4,41711766194596E+071"
,239,224,"8,83423532389192E+071","8,83423532389192E+071"
,240,226,"1,76684706477838E+072","1,76684706477838E+072"
,241,228,"3,53369412955677E+072","3,53369412955677E+072"
,242,230,"7,06738825911354E+072","7,06738825911354E+072"
,243,232,"1,41347765182271E+073","1,41347765182271E+073"
,244,234,"2,82695530364541E+073","2,82695530364541E+073"
,245,236,"5,65391060729083E+073","5,65391060729083E+073"
,246,238,"1,13078212145817E+074","1,13078212145817E+074"
,247,240,"2,26156424291633E+074","2,26156424291633E+074"
,248,242,"4,52312848583266E+074","4,52312848583266E+074"
,249,244,"9,04625697166533E+074","9,04625697166533E+074"
,250,246,"1,80925139433307E+075","1,80925139433307E+075"
,251,248,"3,61850278866613E+075","3,61850278866613E+075"
,252,250,"7,23700557733226E+075","7,23700557733226E+075"
,253,252,"1,44740111546645E+076","1,44740111546645E+076"
,254,254,"2,8948022309329E+076","2,8948022309329E+076"
,255,0,"5,78960446186581E+076","5,78960446186581E+076"
,256,2,"1,15792089237316E+077","1,15792089237316E+077"
